county_fips,county_name,total_export_exposure,total_tariff_weighted,effective_exposure_rate
01001,"Autauga County, Alabama",173549511840.67032,40073710309.76443,0.2309064997345235
01003,"Baldwin County, Alabama",80163054819.63911,18507720370.710392,0.230875936706147
01005,"Barbour County, Alabama",493869515660.60944,114021690023.39308,0.2308741204058231
01007,"Bibb County, Alabama",246989057222.3539,57049033119.56867,0.23097797838148681
01009,"Blount County, Alabama",193950553510.62848,44715450604.014084,0.23055077593044188
01011,"Bullock County, Alabama",635792777816.5785,146871320926.44223,0.23100501617967972
01013,"Butler County, Alabama",358271112761.4321,82772252341.15192,0.2310324483131545
01015,"Calhoun County, Alabama",277104449827.15356,63988673139.68098,0.23091896640272105
01017,"Chambers County, Alabama",475252246851.7553,109787980590.66805,0.23100991382564476
01019,"Cherokee County, Alabama",269285050459.7679,62205089149.311844,0.23100090050712077
01021,"Chilton County, Alabama",344200460541.26135,79501101983.22395,0.23097325860112755
01023,"Choctaw County, Alabama",554855675969.6555,128353977512.91827,0.23132858339893386
01025,"Clarke County, Alabama",327957822728.27686,75784714710.3931,0.23108067397185725
01027,"Clay County, Alabama",819069810625.6404,189153622288.60355,0.2309371189546346
01029,"Cleburne County, Alabama",288448066554.59155,66620571880.4,0.23096210238521886
01031,"Coffee County, Alabama",323863294824.57874,74782667508.40247,0.23090812915032147
01033,"Colbert County, Alabama",386040744284.90594,89117472396.81335,0.2308499134253115
01035,"Conecuh County, Alabama",401381174415.37445,92832163352.83003,0.231281807095321
01037,"Coosa County, Alabama",537053688874.0228,124130421942.99971,0.23113223968957244
01039,"Covington County, Alabama",281887921301.29584,65103215725.06717,0.23095425807720796
01041,"Crenshaw County, Alabama",430055279226.6077,99400190882.89119,0.2311335209316534
01043,"Cullman County, Alabama",306628596561.33923,70805191393.59888,0.23091515986322794
01045,"Dale County, Alabama",97484011218.50337,22523073758.898777,0.23104377299796305
01047,"Dallas County, Alabama",509180679601.8802,117580295444.9052,0.23092057525992396
01049,"DeKalb County, Alabama",560927415982.0363,129517853826.62712,0.23089948919661102
01051,"Elmore County, Alabama",278279059204.3123,64252018056.83476,0.23089059680074947
01053,"Escambia County, Alabama",264633500422.8028,61077962804.17691,0.23080208177193418
01055,"Etowah County, Alabama",212849244839.42026,49146911248.77454,0.23090009685424265
01057,"Fayette County, Alabama",459128023847.4207,106039982564.18808,0.2309595081467467
01059,"Franklin County, Alabama",884636570849.5608,204256749087.2204,0.23089340393316818
01061,"Geneva County, Alabama",281423573070.52,64979719664.517265,0.23089650577435614
01063,"Greene County, Alabama",548808152598.63763,126754500539.96797,0.2309632244706611
01065,"Hale County, Alabama",366834997178.37445,84797620716.30026,0.23116011658796884
01067,"Henry County, Alabama",105133778710.69684,24358686716.785744,0.23169229733304894
01069,"Houston County, Alabama",151880100952.12363,35069491366.78226,0.23090247601189723
01071,"Jackson County, Alabama",613508928805.8755,141653929410.7919,0.23089139010006743
01073,"Jefferson County, Alabama",103371907813.18715,23852684885.659813,0.23074629645770092
01075,"Lamar County, Alabama",810732281494.3557,187238577307.22958,0.23094994683338402
01077,"Lauderdale County, Alabama",157621463561.5669,36402774695.768135,0.23095061975204426
01079,"Lawrence County, Alabama",63664851361.1934,14699991719.943316,0.2308965057743561
01081,"Lee County, Alabama",216888929863.537,50081823780.585846,0.23091000454516752
01083,"Limestone County, Alabama",498074215152.11536,114998427377.52686,0.23088612877180467
01085,"Lowndes County, Alabama",653559751103.3849,150810356953.60754,0.23075221002976246
01087,"Macon County, Alabama",173982099169.797,40171858765.593636,0.23089650577435614
01089,"Madison County, Alabama",163935121493.1383,37849686185.431274,0.2308821065351485
