"","hs8","hs6","Country","Foreign.Tariff.Line.Description","Current.Total.Estimated.Retaliatory.Tariff","naics","w"
"1","00000802","000008","Turkey","Other nuts, fresh or dried, whether or not shelled or peeled","5.0%",NA,NA
"2","00001006","000010","Turkey","Rice","20.0%",NA,NA
"3","00002208","000022","Turkey","Undenatured ethyl alcohol of an alcoholic strength of < 80%; spirits, liqueurs and other spirituous beverages","40.0%",NA,NA
"4","00002401","000024","Turkey","Unmanufactured tobacco; tobacco refuse","25.0%",NA,NA
"5","00002701","000027","Turkey","Coal; briquettes, ovoids and similiar solid fuels manufactured from coal","10.0%",NA,NA
"6","00003304","000033","Turkey","Beauty or make-up preparations and preparations for the care of the skin, incl. sunscreen or suntan preparations (excl. medicaments); manicure or pedicure preparations","30.0%",NA,NA
"7","00003926","000039","Turkey","Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s.","30.0%",NA,NA
"8","00004401","000044","Turkey","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","15.0%",NA,NA
"9","00004802","000048","Turkey","Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non-perforated punchcards and punch-tape paper, in rolls or in square or rectangular sheets, of any size, and handmade paper and paperboard","10.0%",NA,NA
"10","00004804","000048","Turkey","Uncoated kraft paper and paperboard","10.0%",NA,NA
"11","00004811","000048","Turkey","Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or in square or rectangular sheets, of any size (excl. goods of heading 4803, 4809 and 4810)","25.0%",NA,NA
"12","00008703","000087","Turkey","Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars","35.0%",NA,NA
"13","00210690","002106","Turkey","Food preparations, n.e.s.","10.0%",NA,NA
"14","00270400","002704","Turkey","Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon","10.0%",NA,NA
"15","00271311","002713","Turkey","Petroleum coke, non-calcined","5.0%",NA,NA
"16","00390410","003904","Turkey","Poly""vinyl chloride"", in primary forms, not mixed with any other substances","32.0%",NA,NA
"17","00390810","003908","Turkey","Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms","10.0%",NA,NA
"18","00550210","005502","Turkey","Artificial filament tow of cellulose acetate","30.0%",NA,NA
"19","00730890","007308","Turkey","Structures and parts of structures, of iron or steel, n.e.s. (excl. bridges and bridge-sections, towers and lattice masts, doors and windows and their frames, thresholds for doors, props and similar equipment for scaffolding, shuttering, propping or pit-propping)","30.0%",NA,NA
"20","00841370","008413","Turkey","Centrifugal pumps","10.0%",NA,NA
"21","00902219","009022","Turkey","Apparatus based on the use of x-rays (other than for medical, surgical, dental or veterinary uses)","5.0%",NA,NA
"22","01012900","010129","China","Live horses, asses, mules and hinnies: --Other","30.0%","112920",1
"23","01013090","010130","China","Live horses, asses, mules and hinnies: ---Other","2.5%","112920",1
"24","01019000","010190","China","Live horses, asses, mules and hinnies: -Other","2.5%","112920",1
"25","01022900","010229","China","Live bovine animals: --Other","2.5%","11211X",1
"26","01023900","010239","China","Live bovine animals: --Other","2.5%","11211X",0.5
"27","01029090","010290","China","Live bovine animals: ---Other","2.5%","11211X",0.5
"28","01039110","010391","China","Live swine: ---Weighing less than 10kg","2.5%","112210",1
"29","01039120","010391","China","Live swine: ---Weighing 10kg or more, but less than 50kg","2.5%","112210",1
"30","01039200","010392","China","Live swine: --Weighing 50kg or more","2.5%","112210",1
"31","01041090","010410","China","Live sheep and goats: ---Other","2.5%","112410",1
"32","01042090","010420","China","Live sheep and goats: ---Other","2.5%","112420",1
"33","01051122","010511","Canada","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Weighing not more than 185 g: Fowls of the species Gallus domesticusBroilers for domestic production: Over access commitment","25.0%","1123XX",1
"34","01051190","010511","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","1123XX",1
"35","01051290","010512","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","1123XX",1
"36","01051390","010513","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","1123XX",1
"37","01051490","010514","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","1123XX",1
"38","01051590","010515","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","1123XX",1
"39","01059490","010594","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","1123XX",1
"40","01059492","010594","Canada","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: Fowls of the species Gallus domesticusOther: Over access commitment","25.0%","1123XX",1
"41","01059912","010599","Canada","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: OtherTurkeys: Over access commitment","25.0%","1123XX",1
"42","01059991","010599","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Ducks","2.5%","1123XX",1
"43","01059992","010599","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Geese","2.5%","1123XX",1
"44","01059993","010599","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Guinea fowls","2.5%","1123XX",1
"45","01059994","010599","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Turkeys","2.5%","1123XX",1
"46","01061190","010611","China","Other live animals: ---Other","2.5%","112990",1
"47","01061219","010612","China","Other live animals: ----Other","2.5%","112990",1
"48","01061229","010612","China","Other live animals: ----Other","2.5%","112990",1
"49","01061390","010613","China","Other live animals: ---Other","2.5%","112990",1
"50","01061490","010614","China","Other live animals: ---Other","2.5%","112930",1
"51","01061990","010619","China","Other live animals: ---Other","12.5%","112930",0.5
"52","01062020","010620","China","Other live animals: ---For human consumption","2.5%","112990",1
"53","01062090","010620","China","Other live animals: ---Other","12.5%","112990",1
"54","01063190","010631","China","Other live animals: ---Other","2.5%","112990",1
"55","01063290","010632","China","Other live animals: ---Other","2.5%","112990",1
"56","01063390","010633","China","Other live animals: ---Other","2.5%","112990",1
"57","01063921","010639","China","Other live animals: ----Squabs","2.5%","112990",1
"58","01063923","010639","China","Other live animals: ----Teals","2.5%","112990",1
"59","01063929","010639","China","Other live animals: ----Other","2.5%","112990",1
"60","01063990","010639","China","Other live animals: ---Other","2.5%","112990",1
"61","01064190","010641","China","Other live animals: ---Other","2.5%","112990",0.5
"62","01064990","010649","China","Other live animals: ---Other","12.5%","112990",0.5
"63","01069090","010690","China","Other live animals: ---Other","27.5%","112990",0.5
"64","02011000","020110","China","Meat of bovine animals, fresh or chilled: -Carcasses and half-carcasses","35.0%","311611",1
"65","02012000","020120","China","Meat of bovine animals, fresh or chilled: -Other cuts with bone in","40.0%","311611",1
"66","02013000","020130","China","Meat of bovine animals, fresh or chilled: -Boneless","40.0%","311611",1
"67","02021000","020210","China","Meat of bovine animals, frozen: -Carcasses and half-carcasses","35.0%","311611",1
"68","02022000","020220","China","Meat of bovine animals, frozen: -Other cuts with bone in","40.0%","311611",1
"69","02023000","020230","China","Meat of bovine animals, frozen: -Boneless","40.0%","311611",1
"70","02031110","020311","China","Meat of swine, fresh, chilled or frozen: ---Sucking pig","35.0%","311611",1
"71","02031190","020311","China","Meat of swine, fresh, chilled or frozen: ---Other","35.0%","311611",1
"72","02031200","020312","China","Meat of swine, fresh, chilled or frozen: --Hams, shoulders and cuts thereof, with bone in","65.0%","311611",1
"73","02031900","020319","China","Meat of swine, fresh, chilled or frozen: --Other","65.0%","311611",1
"74","02032110","020321","China","Meat of swine, fresh, chilled or frozen: ---Sucking pig","35.0%","311611",1
"75","02032190","020321","China","Meat of swine, fresh, chilled or frozen: ---Other","60.0%","311611",1
"76","02032200","020322","China","Meat of swine, fresh, chilled or frozen: --Hams, shoulders and cuts thereof, with bone in","65.0%","311611",1
"77","02032900","020329","China","Meat of swine, fresh, chilled or frozen: --Other","65.0%","311611",1
"78","02042200","020422","China","Meat of sheep or goats, fresh, chilled or frozen: --Other cuts with bone in","30.0%","311611",1
