hs8,Country,desc,tariff,hs6,naics6,naics2,naics3,naics4
01012900,China,"Live horses, asses, mules and hinnies: --Other",30.0%,010129,112920,11,112,1129
01013090,China,"Live horses, asses, mules and hinnies: ---Other",2.5%,010130,112920,11,112,1129
01019000,China,"Live horses, asses, mules and hinnies: -Other",2.5%,010190,112920,11,112,1129
01022900,China,Live bovine animals: --Other,2.5%,010229,11211X,11,112,1121
01023900,China,Live bovine animals: --Other,2.5%,010239,11211X,11,112,1121
01029090,China,Live bovine animals: ---Other,2.5%,010290,11211X,11,112,1121
01039110,China,Live swine: ---Weighing less than 10kg,2.5%,010391,112210,11,112,1122
01039120,China,"Live swine: ---Weighing 10kg or more, but less than 50kg",2.5%,010391,112210,11,112,1122
01039200,China,Live swine: --Weighing 50kg or more,2.5%,010392,112210,11,112,1122
01041090,China,Live sheep and goats: ---Other,2.5%,010410,112410,11,112,1124
01042090,China,Live sheep and goats: ---Other,2.5%,010420,112420,11,112,1124
01051122,Canada,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Weighing not more than 185 g: Fowls of the species Gallus domesticusBroilers for domestic production: Over access commitment",25.0%,010511,1123XX,11,112,1123
01051190,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,010511,1123XX,11,112,1123
01051290,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,010512,1123XX,11,112,1123
01051390,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,010513,1123XX,11,112,1123
01051490,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,010514,1123XX,11,112,1123
01051590,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,010515,1123XX,11,112,1123
01059490,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,010594,1123XX,11,112,1123
01059492,Canada,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: Fowls of the species Gallus domesticusOther: Over access commitment",25.0%,010594,1123XX,11,112,1123
01059912,Canada,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: OtherTurkeys: Over access commitment",25.0%,010599,1123XX,11,112,1123
01059991,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Ducks",2.5%,010599,1123XX,11,112,1123
01059992,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Geese",2.5%,010599,1123XX,11,112,1123
01059993,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Guinea fowls",2.5%,010599,1123XX,11,112,1123
01059994,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Turkeys",2.5%,010599,1123XX,11,112,1123
01061190,China,Other live animals: ---Other,2.5%,010611,112990,11,112,1129
01061219,China,Other live animals: ----Other,2.5%,010612,112990,11,112,1129
