 Foreign National Tariff Line,Country,Foreign Tariff Line Description,Current Total Estimated Retaliatory Tariff,Source.Name,HS Subheading,Tariff Line
01012900,China,"Live horses, asses, mules and hinnies: --Other",30.0%,Retaliation_Product_Matrix_3-28-2025.xlsx,010129,"01012900 - Live horses, asses, mules and hinnies: --Other"
01013090,China,"Live horses, asses, mules and hinnies: ---Other",2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010130,"01013090 - Live horses, asses, mules and hinnies: ---Other"
01019000,China,"Live horses, asses, mules and hinnies: -Other",2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010190,"01019000 - Live horses, asses, mules and hinnies: -Other"
01022900,China,Live bovine animals: --Other,2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010229,01022900 - Live bovine animals: --Other
01023900,China,Live bovine animals: --Other,2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010239,01023900 - Live bovine animals: --Other
01029090,China,Live bovine animals: ---Other,2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010290,01029090 - Live bovine animals: ---Other
01039110,China,Live swine: ---Weighing less than 10kg,2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010391,01039110 - Live swine: ---Weighing less than 10kg
01039120,China,"Live swine: ---Weighing 10kg or more, but less than 50kg",2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010391,"01039120 - Live swine: ---Weighing 10kg or more, but less than 50kg"
01039200,China,Live swine: --Weighing 50kg or more,2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010392,01039200 - Live swine: --Weighing 50kg or more
01041090,China,Live sheep and goats: ---Other,2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010410,01041090 - Live sheep and goats: ---Other
01042090,China,Live sheep and goats: ---Other,2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010420,01042090 - Live sheep and goats: ---Other
01051122,Canada,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Weighing not more than 185 g: Fowls of the species Gallus domesticusBroilers for domestic production: Over access commitment",25.0%,Retaliation_Product_Matrix_3-28-2025.xlsx,010511,"01051122 - Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Weighing not more than 185 g: Fowls of the species Gallus domesticusBroilers for domestic production: Over access commitment"
01051190,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010511,"01051190 - Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other"
01051290,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010512,"01051290 - Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other"
01051390,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010513,"01051390 - Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other"
01051490,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010514,"01051490 - Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other"
01051590,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010515,"01051590 - Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other"
01059490,China,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",2.5%,Retaliation_Product_Matrix_3-28-2025.xlsx,010594,"01059490 - Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other"
01059492,Canada,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: Fowls of the species Gallus domesticusOther: Over access commitment",25.0%,Retaliation_Product_Matrix_3-28-2025.xlsx,010594,"01059492 - Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: Fowls of the species Gallus domesticusOther: Over access commitment"
01059912,Canada,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: OtherTurkeys: Over access commitment",25.0%,Retaliation_Product_Matrix_3-28-2025.xlsx,010599,"01059912 - Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: OtherTurkeys: Over access commitment"
