hs8,hs6,naics6,naics2,tariff,desc,Country,unmapped,bad_naics6,naics2_mismatch,public_admin,hs97,hs000
01022900,010229,11211X,11,2.5%,Live bovine animals: --Other,China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01023900,010239,11211X,11,2.5%,Live bovine animals: --Other,China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01029090,010290,11211X,11,2.5%,Live bovine animals: ---Other,China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01051122,010511,1123XX,11,25.0%,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Weighing not more than 185 g: Fowls of the species Gallus domesticusBroilers for domestic production: Over access commitment",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01051190,010511,1123XX,11,2.5%,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01051290,010512,1123XX,11,2.5%,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01051390,010513,1123XX,11,2.5%,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01051490,010514,1123XX,11,2.5%,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01051590,010515,1123XX,11,2.5%,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01059490,010594,1123XX,11,2.5%,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01059492,010594,1123XX,11,25.0%,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: Fowls of the species Gallus domesticusOther: Over access commitment",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01059912,010599,1123XX,11,25.0%,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: OtherTurkeys: Over access commitment",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01059991,010599,1123XX,11,2.5%,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Ducks",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01059992,010599,1123XX,11,2.5%,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Geese",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01059993,010599,1123XX,11,2.5%,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Guinea fowls",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
01059994,010599,1123XX,11,2.5%,"Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Turkeys",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
03091000,030910,NA,NA,40.0%,"Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption: -Of fish",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
03099000,030990,NA,NA,40.0%,"Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption: -Other",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
04032010,040320,NA,NA,62.5%,"Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa. YogurtContaining chocolate, spices, coffee or coffee extracts, plants, parts of plants, cereals or bakers' wares, provided that any added substance is not used for the purpose of replacing, in whole or in part, any milk constituent, and the product retains the essential character of yogurt, put up for retail sale",Canada,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
